epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3973.69,0.55563,0.59834,0.85839,0.85796,0.5496,0.64381,0.49129,1.06848,1.9207,0.99051,3.02417e-05,3.02417e-05,3.02417e-05
59,4038.53,0.55825,0.58579,0.8575,0.85726,0.53582,0.63042,0.48507,1.06209,1.9732,0.99073,2.80354e-05,2.80354e-05,2.80354e-05
60,4103.19,0.55656,0.5884,0.85596,0.87292,0.59563,0.68554,0.5236,1.02473,1.69141,0.97662,2.58291e-05,2.58291e-05,2.58291e-05
61,4165.78,0.53108,0.51268,0.85674,0.86525,0.6107,0.69572,0.52806,1.02397,1.62374,0.97578,2.36229e-05,2.36229e-05,2.36229e-05
62,4225.74,0.52166,0.48956,0.85098,0.85648,0.54658,0.64293,0.49531,1.0245,1.92338,0.97944,2.14166e-05,2.14166e-05,2.14166e-05
63,4285.45,0.51883,0.48383,0.84837,0.85582,0.52334,0.61839,0.4806,1.02477,2.04725,0.98036,1.92103e-05,1.92103e-05,1.92103e-05
64,4344.95,0.5137,0.47759,0.84824,0.85623,0.52112,0.61797,0.48106,1.01873,2.08116,0.9788,1.7004e-05,1.7004e-05,1.7004e-05
65,4403.86,0.51384,0.47659,0.8493,0.86046,0.52007,0.61564,0.48049,1.02211,2.09337,0.98058,1.47977e-05,1.47977e-05,1.47977e-05
66,4463.61,0.50941,0.47098,0.84892,0.85456,0.54602,0.64336,0.497,1.01532,1.9568,0.97583,1.25914e-05,1.25914e-05,1.25914e-05
67,4523.3,0.51014,0.47008,0.84789,0.86297,0.58817,0.68081,0.52603,0.98134,1.76392,0.96251,1.03851e-05,1.03851e-05,1.03851e-05
68,4583.13,0.50788,0.46566,0.84808,0.85304,0.53703,0.63266,0.48944,1.02083,2.01187,0.9792,8.17886e-06,8.17886e-06,8.17886e-06
69,4642.31,0.50629,0.46621,0.84692,0.8603,0.5762,0.66829,0.51465,1.00219,1.82084,0.97036,5.97257e-06,5.97257e-06,5.97257e-06
70,4701.97,0.50102,0.46111,0.84534,0.86379,0.55644,0.65281,0.50372,1.01086,1.89694,0.97493,3.76629e-06,3.76629e-06,3.76629e-06
